family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
ASCII	simdutf::validate_utf16_as_ascii	bool (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:388	SIMDUTF_FEATURE_ASCII && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16AsASCII	func ValidateUTF16AsASCII(input []uint16) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:388; native-endian delegate to simdutf::validate_utf16le_as_ascii or simdutf::validate_utf16be_as_ascii	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/validate_utf16be_basic_tests.cpp;tests/validate_utf16le_basic_tests.cpp	fuzz/misc.cpp;fuzz_ascii_test.go (FuzzValidateUTF16AsASCII exercises direct LE/BE cells; native wrapper remains tested through delegation)	not_applicable: no validate_utf16_as_ascii occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
ASCII	simdutf::validate_utf16be_as_ascii	bool (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:416	SIMDUTF_FEATURE_ASCII && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16BEAsASCII	func ValidateUTF16BEAsASCII(input []uint16) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/validate_utf16be_basic_tests.cpp	fuzz/misc.cpp;fuzz_ascii_test.go (FuzzValidateUTF16AsASCII)	not_applicable: no validate_utf16be_as_ascii occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
ASCII	simdutf::validate_utf16le_as_ascii	bool (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:444	SIMDUTF_FEATURE_ASCII && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16LEAsASCII	func ValidateUTF16LEAsASCII(input []uint16) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/validate_utf16le_basic_tests.cpp	fuzz/misc.cpp;fuzz_ascii_test.go (FuzzValidateUTF16AsASCII)	not_applicable: no validate_utf16le_as_ascii occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::validate_utf16	bool (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:477	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16	func ValidateUTF16(input []uint16) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:477; native-endian delegate to simdutf::validate_utf16le or simdutf::validate_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf16_to_utf8_safe_tests.cpp;tests/convert_utf16be_to_latin1_tests.cpp;tests/convert_utf16be_to_latin1_tests_with_errors.cpp;tests/convert_utf16be_to_utf32_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/convert_utf16be_to_utf8_tests.cpp;tests/convert_utf16le_to_latin1_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/convert_utf16le_to_utf32_tests.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/convert_utf16le_to_utf8_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_valid_utf16be_to_utf32_tests.cpp;tests/convert_valid_utf16be_to_utf8_tests.cpp;tests/convert_valid_utf16le_to_utf32_tests.cpp;tests/convert_valid_utf16le_to_utf8_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/transcode_test_base.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/reference/CMakeLists.txt;tests/reference/validate_utf16.cpp;tests/reference/validate_utf16.h;tests/reference/validate_utf16_to_latin1.cpp;tests/reference/validate_utf16_to_latin1.h;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/utf8_length_from_utf16_tests.cpp;tests/validate_utf16be_basic_tests.cpp;tests/validate_utf16be_with_errors_tests.cpp;tests/validate_utf16le_basic_tests.cpp;tests/validate_utf16le_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/misc.cpp;fuzz/roundtrip.cpp	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::validate_utf16le	bool (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:510	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16LE	func ValidateUTF16LE(input []uint16) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/special_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/validate_utf16le_basic_tests.cpp;tests/validate_utf16le_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/misc.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16LE)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::validate_utf16be	bool (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:543	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16BE	func ValidateUTF16BE(input []uint16) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/special_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/validate_utf16be_basic_tests.cpp;tests/validate_utf16be_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/misc.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16BE)	not_applicable: no validate_utf16be occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::validate_utf16_with_errors	result (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:576	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16WithErrors	func ValidateUTF16WithErrors(input []uint16) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	Result	Count is input code-unit length on success and input error position on failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:576; native-endian delegate to simdutf::validate_utf16le_with_errors or simdutf::validate_utf16be_with_errors	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/simdutf_c_tests.cpp;tests/validate_utf16be_with_errors_tests.cpp;tests/validate_utf16le_with_errors_tests.cpp	not_applicable: no validate_utf16_with_errors occurrence under fuzz at pinned tree	not_applicable: no validate_utf16_with_errors occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::validate_utf16le_with_errors	result (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:609	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16LEWithErrors	func ValidateUTF16LEWithErrors(input []uint16) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	Result	Count is input code-unit length on success and input error position on failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/validate_utf16le_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16LEWithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::validate_utf16be_with_errors	result (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:642	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ValidateUTF16BEWithErrors	func ValidateUTF16BEWithErrors(input []uint16) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	Result	Count is input code-unit length on success and input error position on failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/validate_utf16be_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16BEWithErrors)	not_applicable: no validate_utf16be_with_errors occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::to_well_formed_utf16le	void (const char16_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:671	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ToWellFormedUTF16LE	func ToWellFormedUTF16LE(input, dst []uint16)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	no return	not_applicable	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	input and output may be identical as documented; no other overlap guaranteed	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/helpers/compiletime_conversions.h;tests/to_well_formed_utf16_tests.cpp	fuzz/misc.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ToWellFormedUTF16LE)	benchmarks/benchmark_to_well_formed_utf16.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::to_well_formed_utf16be	void (const char16_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:701	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ToWellFormedUTF16BE	func ToWellFormedUTF16BE(input, dst []uint16)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	no return	not_applicable	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	input and output may be identical as documented; no other overlap guaranteed	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/helpers/compiletime_conversions.h;tests/to_well_formed_utf16_tests.cpp	fuzz/misc.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ToWellFormedUTF16BE)	not_applicable: no to_well_formed_utf16be occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::to_well_formed_utf16	void (const char16_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:731	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ToWellFormedUTF16	func ToWellFormedUTF16(input, dst []uint16)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	no return	not_applicable	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	input and output may be identical as documented; no other overlap guaranteed	include/simdutf/implementation.h:731; native-endian delegate to simdutf::to_well_formed_utf16le or simdutf::to_well_formed_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/helpers/compiletime_conversions.h;tests/simdutf_c_tests.cpp;tests/to_well_formed_utf16_tests.cpp	fuzz/misc.cpp	benchmarks/CMakeLists.txt;benchmarks/benchmark_to_well_formed_utf16.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
UTF-32	simdutf::validate_utf32	bool (const char32_t *, size_t) noexcept	include/simdutf/implementation.h:766	SIMDUTF_FEATURE_UTF32	mapped one-to-one	ValidateUTF32	func ValidateUTF32(input []uint32) bool	UTF-32 code units ([]uint32)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp;src/westmere/sse_convert_utf32_to_utf16.cpp	src/arm64/arm_validate_utf32le.cpp;src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf32_to_latin1_tests.cpp;tests/convert_utf32_to_utf16be_with_errors_tests.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp;tests/convert_utf32_to_utf8_with_errors_tests.cpp;tests/helpers/transcode_test_base.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/reference/CMakeLists.txt;tests/reference/validate_utf32.cpp;tests/reference/validate_utf32.h;tests/reference/validate_utf32_to_latin1.cpp;tests/reference/validate_utf32_to_latin1.h;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp;tests/validate_utf32_basic_tests.cpp;tests/validate_utf32_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_utf_32_test.go (planned direct scalar-differential target for ValidateUTF32)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
UTF-32	simdutf::validate_utf32_with_errors	result (const char32_t *, size_t) noexcept	include/simdutf/implementation.h:801	SIMDUTF_FEATURE_UTF32	mapped one-to-one	ValidateUTF32WithErrors	func ValidateUTF32WithErrors(input []uint32) Result	UTF-32 code units ([]uint32)	none	Result	Count is input code-unit length on success and input error position on failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf32_to_utf16be_with_errors_tests.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp;tests/convert_utf32_to_utf8_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/validate_utf32_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_utf_32_test.go (planned direct scalar-differential target for ValidateUTF32WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_latin1_to_utf8	size_t (const char *, size_t, char *) noexcept	include/simdutf/implementation.h:830	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF8	mapped one-to-one	ConvertLatin1ToUTF8	func ConvertLatin1ToUTF8(input []byte, dst []byte) int	bytes ([]byte)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/avx2_convert_latin1_to_utf8.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp;src/westmere/sse_convert_latin1_to_utf8.cpp	src/arm64/arm_convert_latin1_to_utf8.cpp;src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_latin1_to_utf8_tests.cpp;tests/helpers/compiletime_conversions.h;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/straight_c_test.c	fuzz/conversion.cpp;fuzz/misc.cpp;fuzz/roundtrip.cpp;fuzz/safe_conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertLatin1ToUTF8)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
