mapping_version	consumer_row_key_v1	consumer_manifest_ordinal	consumer_go_symbol	dependency_kind	owner_kind	owner_logical_id	owner_go_symbol_or_empty	evidence_anchor
v1	rk-v1-991029ba6b52152f9a1571ba06b800a76de5a02e83c4f62d10c9998125426e33	11	ToWellFormedUTF16	wrapper_delegate	row	rk-v1-fa4941b5d09f0fc5d20e089cf7dee9c8e5b31b949b42bb594a246fc8d4f806d9	ToWellFormedUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:12;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:731
v1	rk-v1-a582c3ac7b835ea738ec32f2f84d7ab1ea6b15b0c37abc2fccc381312b1c7fd4	12	ValidateUTF32	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:13;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:766
v1	rk-v1-510cb2e89abfbdf685b739d49e1d16b73c0196ab875e6038daa1130ccc4d872a	13	ValidateUTF32WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:14;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:801
v1	rk-v1-972dd5af819d6bf5975987c4e9b5ead848e7157f7ca559c2d64f0731fde66c33	14	ConvertLatin1ToUTF8	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:15;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:830
v1	rk-v1-b69f3bf5377207cd540d0166f58711701cc9ab5f31e9a7470b6da002a935d8e1	15	ConvertLatin1ToUTF8Safe	wrapper_delegate	row	rk-v1-972dd5af819d6bf5975987c4e9b5ead848e7157f7ca559c2d64f0731fde66c33	ConvertLatin1ToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:868;dependency:ConvertLatin1ToUTF8
v1	rk-v1-5839788da525de964d656abf2328df3bfd42f03e70e74a3acea579f2777407d5	16	ConvertLatin1ToUTF16LE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:17;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:907
v1	rk-v1-5a13a85c8739413c08a3d25460a6d4a26126db6ce67061b5c99bdbe1eb1e7705	17	ConvertLatin1ToUTF16BE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:18;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:938
v1	rk-v1-c88c399ce55a80a881254ffe7d4fe9e65c0be0b3798430f6fd0e256b4b8bea39	18	Latin1LengthFromUTF16	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:19;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:966
v1	rk-v1-517ddacb8f5348d328ea320d92b814a4dea9f60649730de1f691da87088fecc8	19	UTF16LengthFromLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:20;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:979
v1	rk-v1-4b75dfa5c096a1059a63e72185d90ae7f91ac816a55e0c2d20b3ef1653af70ee	20	ConvertLatin1ToUTF32	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:21;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:995
v1	rk-v1-334da19fcd4da3dbaff52595de4658b6bea7113a6ecaf9eeb7bad1c291566dfb	21	ConvertUTF8ToLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:22;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1030
v1	rk-v1-558f74c98fd2cc4d188820da2ffbfd7b325f33fb621434c858f6c14a45de60a1	22	ConvertUTF8ToUTF16	wrapper_delegate	row	rk-v1-48216e44d797fcd76913dab6a14ceb5cec3584f138779e779713e0750589af05	ConvertUTF8ToUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:23;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1067
v1	rk-v1-558f74c98fd2cc4d188820da2ffbfd7b325f33fb621434c858f6c14a45de60a1	22	ConvertUTF8ToUTF16	wrapper_delegate	row	rk-v1-68c931a1231b7648338c0c4c35c72209a46869af1f8518ff14395a9e0d5dd5a6	ConvertUTF8ToUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:23;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1067
v1	rk-v1-eea7e268e8709ceb1a21f0e7d76f6506d082a02023037485b1702b4d41308861	23	UTF8LengthFromUTF16LEWithReplacement	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:24;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1103
v1	rk-v1-38cc3a36b92829539b4cfb8eda21707747045198182e2a59a14d06ccf75fba7c	24	UTF8LengthFromUTF16BEWithReplacement	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:25;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1139
v1	rk-v1-f53a8ab483b884045d644da024b35577ecc7acfd6377cadd1efc361df7b2c741	25	ConvertLatin1ToUTF16	wrapper_delegate	row	rk-v1-5839788da525de964d656abf2328df3bfd42f03e70e74a3acea579f2777407d5	ConvertLatin1ToUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:26;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1169
v1	rk-v1-f53a8ab483b884045d644da024b35577ecc7acfd6377cadd1efc361df7b2c741	25	ConvertLatin1ToUTF16	wrapper_delegate	row	rk-v1-5a13a85c8739413c08a3d25460a6d4a26126db6ce67061b5c99bdbe1eb1e7705	ConvertLatin1ToUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:26;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1169
v1	rk-v1-48216e44d797fcd76913dab6a14ceb5cec3584f138779e779713e0750589af05	26	ConvertUTF8ToUTF16LE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:27;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1202
v1	rk-v1-68c931a1231b7648338c0c4c35c72209a46869af1f8518ff14395a9e0d5dd5a6	27	ConvertUTF8ToUTF16BE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:28;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1234
v1	rk-v1-83f3c3b6744921b624fd0d52a4ce8b86c36763f30af56b98ba4f1b2064abed7f	28	ConvertUTF8ToLatin1WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:29;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1273
v1	rk-v1-ddcfd69a57984ca3e6b56969a19ea5464acaf9cfe27ae4fc6231dfa60ff2b5df	29	ConvertUTF8ToUTF16WithErrors	wrapper_delegate	row	rk-v1-a665bf18a3c5fef1728196e75390c757b85ce8fda291d96ba3fc677389e27026	ConvertUTF8ToUTF16LEWithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:30;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1311
v1	rk-v1-ddcfd69a57984ca3e6b56969a19ea5464acaf9cfe27ae4fc6231dfa60ff2b5df	29	ConvertUTF8ToUTF16WithErrors	wrapper_delegate	row	rk-v1-f93956f7904c9d126425b1d54d22a864afde98918982b7b8b4ef12bbdfae1e27	ConvertUTF8ToUTF16BEWithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:30;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1311
v1	rk-v1-a665bf18a3c5fef1728196e75390c757b85ce8fda291d96ba3fc677389e27026	30	ConvertUTF8ToUTF16LEWithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:31;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1346
v1	rk-v1-f93956f7904c9d126425b1d54d22a864afde98918982b7b8b4ef12bbdfae1e27	31	ConvertUTF8ToUTF16BEWithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:32;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1381
v1	rk-v1-77aa76335ad762665cb847cf5a21548c5cf838a40686bbe67b9af69c885437b7	32	ConvertUTF8ToUTF32	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:33;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1416
v1	rk-v1-b33d6e0272b8a4781ce06aa6cd053be275e05d86557edf668e208c50545bcecc	33	ConvertUTF8ToUTF32WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:34;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1450
v1	rk-v1-a3c639f96453c71cd9a7e264435ce68a18dc81c5de75da822ed99353d5aecff9	34	ConvertValidUTF8ToLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:35;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1492
v1	rk-v1-39d339dfdc299a62bfa5e3709e08634d3514c773be66c5e1b5d34651a1a74c94	35	ConvertValidUTF8ToUTF16	wrapper_delegate	row	rk-v1-074d23d5f7eeb0cafa681c8aa5434f0535582d513f31e291e8cdec2de4449a0b	ConvertValidUTF8ToUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:36;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1525
v1	rk-v1-39d339dfdc299a62bfa5e3709e08634d3514c773be66c5e1b5d34651a1a74c94	35	ConvertValidUTF8ToUTF16	wrapper_delegate	row	rk-v1-2e559f8b08bb866fc6653946e623f9b4dc1e40e561a056ec21f884cd2c3e8844	ConvertValidUTF8ToUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:36;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1525
v1	rk-v1-074d23d5f7eeb0cafa681c8aa5434f0535582d513f31e291e8cdec2de4449a0b	36	ConvertValidUTF8ToUTF16LE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:37;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1556
v1	rk-v1-2e559f8b08bb866fc6653946e623f9b4dc1e40e561a056ec21f884cd2c3e8844	37	ConvertValidUTF8ToUTF16BE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:38;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1588
v1	rk-v1-990d051843e234cab0a2c1d3979ae51c9f73f5633d9a31d1221ffb726decda68	38	ConvertValidUTF8ToUTF32	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:39;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1621
v1	rk-v1-ccc91f29d0e3f45a142f851b0c3d909d45cae372b28e3a898c4cb679e98f8b5a	39	UTF8LengthFromLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:40;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1652
v1	rk-v1-b49d470815894b085d642762d5b3a1ad667728592f31fd09fc419550dd0ce3c4	40	ConvertUTF16ToUTF8	wrapper_delegate	row	rk-v1-4e43ea60f21bf753f7e58b261fba08055ad93bf8527bdbe9c0c3f89e42ea879a	ConvertUTF16LEToUTF8	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:41;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1797
v1	rk-v1-b49d470815894b085d642762d5b3a1ad667728592f31fd09fc419550dd0ce3c4	40	ConvertUTF16ToUTF8	wrapper_delegate	row	rk-v1-521d662c032927cd6ad9fdcadd43d12ddfaea74b4e341ab9ba1ab88281249170	ConvertUTF16BEToUTF8	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:41;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1797
v1	rk-v1-c0a1790e10f929d2da5a660038c61e87dbe1756f0b8952323bbc077e6d6da6e9	41	ConvertUTF16ToUTF8Safe	wrapper_delegate	row	rk-v1-b49d470815894b085d642762d5b3a1ad667728592f31fd09fc419550dd0ce3c4	ConvertUTF16ToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1836;dependency:ConvertUTF16ToUTF8
v1	rk-v1-537366817c1195ad370ade56f6d7715c7b2d7c260bd6e5048ee8aeced4360ed4	42	ConvertUTF16ToLatin1	wrapper_delegate	row	rk-v1-71f7396be385d439d54861f766e76c521912196952506b08b0645c190047c081	ConvertUTF16BEToLatin1	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:43;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1889
v1	rk-v1-537366817c1195ad370ade56f6d7715c7b2d7c260bd6e5048ee8aeced4360ed4	42	ConvertUTF16ToLatin1	wrapper_delegate	row	rk-v1-7716c248a78131c1cd2d7d71a4b63de0f648a598ca7a2a6e1dc342bbff3d295d	ConvertUTF16LEToLatin1	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:43;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1889
v1	rk-v1-7716c248a78131c1cd2d7d71a4b63de0f648a598ca7a2a6e1dc342bbff3d295d	43	ConvertUTF16LEToLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:44;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1926
v1	rk-v1-71f7396be385d439d54861f766e76c521912196952506b08b0645c190047c081	44	ConvertUTF16BEToLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:45;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1961
v1	rk-v1-4e43ea60f21bf753f7e58b261fba08055ad93bf8527bdbe9c0c3f89e42ea879a	45	ConvertUTF16LEToUTF8	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:46;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1998
v1	rk-v1-521d662c032927cd6ad9fdcadd43d12ddfaea74b4e341ab9ba1ab88281249170	46	ConvertUTF16BEToUTF8	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:47;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2034
v1	rk-v1-ac23abceb6f8f4f41ca9004c26156675a50f2c1bb8481fed0bb155d6f07540d2	47	ConvertUTF16ToLatin1WithErrors	wrapper_delegate	row	rk-v1-cf755350d3a290fb00fc37ff1b15b4f99cb3e7354990c33d8309bb32586cd1ec	ConvertUTF16LEToLatin1WithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:48;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2074
v1	rk-v1-ac23abceb6f8f4f41ca9004c26156675a50f2c1bb8481fed0bb155d6f07540d2	47	ConvertUTF16ToLatin1WithErrors	wrapper_delegate	row	rk-v1-f0dbe3e28b358dd52c48465bbab3c0f724ae39d7438cfef1e358781096f417f8	ConvertUTF16BEToLatin1WithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:48;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2074
v1	rk-v1-cf755350d3a290fb00fc37ff1b15b4f99cb3e7354990c33d8309bb32586cd1ec	48	ConvertUTF16LEToLatin1WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:49;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2110
v1	rk-v1-f0dbe3e28b358dd52c48465bbab3c0f724ae39d7438cfef1e358781096f417f8	49	ConvertUTF16BEToLatin1WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:50;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2148
v1	rk-v1-da62207ef0cbf607758d0b6a5828686e7b9f2ad026306ce746232b6fa7e4baa7	50	ConvertUTF16ToUTF8WithErrors	wrapper_delegate	row	rk-v1-3633f480ea565cbff44d0ef240597d81f280ecb25a00772de1db4059afc7e38e	ConvertUTF16LEToUTF8WithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:51;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2188
v1	rk-v1-da62207ef0cbf607758d0b6a5828686e7b9f2ad026306ce746232b6fa7e4baa7	50	ConvertUTF16ToUTF8WithErrors	wrapper_delegate	row	rk-v1-4c03838d156b4e250f900dbff0a8a3fb28b4ee60eb2139e07307565b3bcfa6ce	ConvertUTF16BEToUTF8WithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:51;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2188
v1	rk-v1-3633f480ea565cbff44d0ef240597d81f280ecb25a00772de1db4059afc7e38e	51	ConvertUTF16LEToUTF8WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:52;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2225
v1	rk-v1-4c03838d156b4e250f900dbff0a8a3fb28b4ee60eb2139e07307565b3bcfa6ce	52	ConvertUTF16BEToUTF8WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:53;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2262
v1	rk-v1-e65d80991f56e573c7b25788519e8fd01fb6b5f20e2356ac14864b920fe824f7	53	ConvertUTF16LEToUTF8WithReplacement	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:54;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2297
v1	rk-v1-a7ed3f150f1eaad3b80a158978003f86a8e57c080fa44ab5168ac14edb93b929	54	ConvertUTF16BEToUTF8WithReplacement	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:55;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2332
v1	rk-v1-772c23c8a7781b729b62c1e1bc03e3a19826232b5ba9a005d69f1c1377186520	55	ConvertUTF16ToUTF8WithReplacement	wrapper_delegate	row	rk-v1-a7ed3f150f1eaad3b80a158978003f86a8e57c080fa44ab5168ac14edb93b929	ConvertUTF16BEToUTF8WithReplacement	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:56;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2367
v1	rk-v1-772c23c8a7781b729b62c1e1bc03e3a19826232b5ba9a005d69f1c1377186520	55	ConvertUTF16ToUTF8WithReplacement	wrapper_delegate	row	rk-v1-e65d80991f56e573c7b25788519e8fd01fb6b5f20e2356ac14864b920fe824f7	ConvertUTF16LEToUTF8WithReplacement	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:56;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2367
v1	rk-v1-150e1e4c3840ced668160ee320b2d8e923ea9baf583215a8774f2ad8b7d7590e	56	ConvertValidUTF16ToUTF8	wrapper_delegate	row	rk-v1-01735559de15f2f81f7d1effc6851ba55aee8c06790b1df30575f5825c1601c4	ConvertValidUTF16BEToUTF8	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:57;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2403
v1	rk-v1-150e1e4c3840ced668160ee320b2d8e923ea9baf583215a8774f2ad8b7d7590e	56	ConvertValidUTF16ToUTF8	wrapper_delegate	row	rk-v1-1211805a257b93b00263fe359a9cdf055ad6097b0ef8a63b9f9e9a8060cb0179	ConvertValidUTF16LEToUTF8	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:57;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2403
v1	rk-v1-7569422580eddbeb8549bf7f5e716db159bd5c99094f15f49f9a2b829696b9a1	57	ConvertValidUTF16ToLatin1	wrapper_delegate	row	rk-v1-a13de744839582c7f284e5864c6f618984ab85a03e2455e8875d03cec8484a48	ConvertValidUTF16LEToLatin1	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:58;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2445
v1	rk-v1-7569422580eddbeb8549bf7f5e716db159bd5c99094f15f49f9a2b829696b9a1	57	ConvertValidUTF16ToLatin1	wrapper_delegate	row	rk-v1-dbd9fd31ba0eb336979e8e9e2c8839825c5c1f0c6c00ea5190088330d5fc92a5	ConvertValidUTF16BEToLatin1	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:58;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2445
v1	rk-v1-a13de744839582c7f284e5864c6f618984ab85a03e2455e8875d03cec8484a48	58	ConvertValidUTF16LEToLatin1	shared_kernel_delegate	cell	cell-v1-7675a1015ce4a597aa5aee745821c024068602dbcd70aa38c83eb046feb8ff08	ConvertUTF16LEToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1926;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_latin1.cpp
v1	rk-v1-a13de744839582c7f284e5864c6f618984ab85a03e2455e8875d03cec8484a48	58	ConvertValidUTF16LEToLatin1	shared_kernel_delegate	cell	cell-v1-56f8c07d09156934d94b957df6e45a5a31bc93855fd2826fffa77a2fef24128a	ConvertUTF16LEToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1926;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_latin1.cpp
v1	rk-v1-a13de744839582c7f284e5864c6f618984ab85a03e2455e8875d03cec8484a48	58	ConvertValidUTF16LEToLatin1	shared_kernel_delegate	cell	cell-v1-f40166c34e0d9e9232d7b72024e5a38cb047b5c875d89824e178540a46fce2bc	ConvertUTF16LEToLatin1	simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
