mapping_version	manifest_ordinal	go_symbol	family_contract_display_id	isa_ordinal_or_scalar	canonical_kernel_name	westmere_outcome	westmere_direct_symbol	westmere_na_reason	westmere_evidence_anchor	haswell_outcome	haswell_direct_symbol	haswell_na_reason	haswell_evidence_anchor	archsimd_outcome	archsimd_direct_symbol	archsimd_na_reason	archsimd_evidence_anchor	neon_outcome	neon_direct_symbol	neon_na_reason	neon_evidence_anchor
v1	116	Base64ToBinaryDetails	FC-v1-base64	21	base64ToBinary	eligible	base64ToBinaryDetailsWestmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4748;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1356-1384;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:363-397	eligible	base64ToBinaryDetailsHaswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4748;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1325-1353;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:409-440	eligible	base64ToBinaryDetailsArchsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	base64ToBinaryDetailsNEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4748;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1329-1357;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:511-745
v1	117	Base64ToBinaryDetailsUTF16	FC-v1-base64	21	base64ToBinaryUTF16	eligible	base64ToBinaryDetailsUTF16Westmere		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4824;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/implementation.cpp:1416-1444;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_base64.cpp:363-397	eligible	base64ToBinaryDetailsUTF16Haswell		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4824;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1385-1413;611becc2a08c27a4edc77d9a45ff74c97130129b:src/generic/base64.h:1-1;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_base64.cpp:409-440	eligible	base64ToBinaryDetailsUTF16Archsimd		simd/archsimd Go 1.26.5:FC-v1-base64 audit row; required primitives: shuffle/unpack, alphabet lookup, pack/store, line insertion; decode classification, whitespace/padding masks, compression, first-invalid index; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask	eligible	base64ToBinaryDetailsUTF16NEON		611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4824;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/implementation.cpp:1389-1417;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_base64.cpp:511-745
v1	118	Base64Ignorable	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4862	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4862	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4862	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4862
v1	119	Base64IgnorableUTF16	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4866	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4866	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4866	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4866
v1	120	Base64Valid	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4883	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4883	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4883	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4883
v1	121	Base64ValidUTF16	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4887	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4887	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4887	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4887
v1	122	Base64ValidOrPadding	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4901	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4901	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4901	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4901
v1	123	Base64ValidOrPaddingUTF16	FC-v1-base64	scalar		not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4906	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4906	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4906	not_applicable		primitive_gap	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4906
v1	124	Base64ToBinarySafe	FC-v1-base64	21		not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4979;dependency:Base64ToBinary	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4979;dependency:Base64ToBinary	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4979;dependency:Base64ToBinary	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4979;dependency:Base64ToBinary
v1	125	Base64ToBinarySafeUTF16	FC-v1-base64	21		not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4987;dependency:Base64ToBinaryUTF16	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4987;dependency:Base64ToBinaryUTF16	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4987;dependency:Base64ToBinaryUTF16	not_applicable		composite_wrapper_delegates_accelerated_core	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4987;dependency:Base64ToBinaryUTF16
