mapping_version	go_symbol	isa_ordinal_or_scalar	evidence_anchor
v1	ValidateUTF16LEAsASCII	4	docs/porting/api-manifest.tsv:ValidateUTF16LEAsASCII;docs/porting/isa-eligibility.tsv:5;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:293-298
v1	Latin1LengthFromUTF8	19	docs/porting/api-manifest.tsv:Latin1LengthFromUTF8;docs/porting/isa-eligibility.tsv:20;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1123-1125
v1	UTF16LengthFromUTF8	19	docs/porting/api-manifest.tsv:UTF16LengthFromUTF8;docs/porting/isa-eligibility.tsv:20;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1155-1157
v1	UTF32LengthFromUTF8	19	docs/porting/api-manifest.tsv:UTF32LengthFromUTF8;docs/porting/isa-eligibility.tsv:20;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1288-1290
v1	CountUTF8	19	docs/porting/api-manifest.tsv:CountUTF8;docs/porting/isa-eligibility.tsv:20;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/implementation.cpp:1117-1118
v1	TrimPartialUTF8	scalar	docs/porting/api-manifest.tsv:TrimPartialUTF8;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/scalar/utf8.h:291-319
v1	IsPartial	scalar	docs/porting/api-manifest.tsv:IsPartial;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4135-4138
v1	CheckBOM	23	docs/porting/api-manifest.tsv:CheckBOM;docs/porting/isa-eligibility.tsv:24;611becc2a08c27a4edc77d9a45ff74c97130129b:src/encoding_types.cpp:24-45
v1	BOMByteSize	23	docs/porting/api-manifest.tsv:BOMByteSize;docs/porting/isa-eligibility.tsv:24;611becc2a08c27a4edc77d9a45ff74c97130129b:src/encoding_types.cpp:47-64
v1	ErrorCode	scalar	docs/porting/api-manifest.tsv:ErrorCode;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/error.h:7-20
v1	Result	scalar	docs/porting/api-manifest.tsv:Result;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/error.h:76-95
v1	FullResult	scalar	docs/porting/api-manifest.tsv:FullResult;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/error.h:98-120
v1	Encoding	scalar	docs/porting/api-manifest.tsv:Encoding;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/encoding_types.h:15-40
v1	DefaultLineLength	scalar	docs/porting/api-manifest.tsv:DefaultLineLength;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:187-190
v1	Base64Options	scalar	docs/porting/api-manifest.tsv:Base64Options;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4100-4123
v1	Base64ReversePadding	scalar	docs/porting/api-manifest.tsv:Base64ReversePadding;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4098-4099
v1	LastChunkHandlingOptions	scalar	docs/porting/api-manifest.tsv:LastChunkHandlingOptions;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:4125-4133
v1	Result.IsOK	scalar	docs/porting/api-manifest.tsv:Result.IsOK;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/error.h:89-91
v1	Result.IsErr	scalar	docs/porting/api-manifest.tsv:Result.IsErr;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/error.h:93-95
v1	FullResult.Result	scalar	docs/porting/api-manifest.tsv:FullResult.Result;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/error.h:117-119
